CONG;NSELV;HOGAR;TOT_HOGAR;CCDD;NOMBREDD;CCPP;NOMBREPP;CCDI;NOMBREDI;UBIGEO;VIVIENDA;DOMINIO;ESTRATO;PER;P101;P102;P103;P104;P105;P106;P108_1;P108_2;P108_3;P108_4;P108_5;P108_6;P109_1;P109_2;P109_3;P109_4;P109_5;P109_6;P109_7;P109_8;P110;P111;INF_500;P501_1_1;P501_1_2;P501_2_1;P501_2_2;P501_3_1;P501_3_2;P501_4_1;P501_4_2;P501_5_1;P501_5_2;P501_6_1;P501_6_2;P501_7_1;P501_7_2;INF_600;P601;P602_1;P602_1_1;P602_2;P602_2_1;P602_3;P602_3_1;P602_4;P602_4_1;P602_5;P602_5_1;P602_6;P602_6_1;P602_7;P602_7_1;P602_8;P602_8_1;P602_9;P602_10;P602_11;P602_11_1;RESFIN;RESFIN_V;ESTRATOSOCIO;FACTORFINAL_HOGAR
2;12;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;1;1;5;4;1;1;5;4;3;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;150;1;1;1;1;1;2;2; ;2; ;2; ;1;3;2; ;2;1;2; ;1;1;2;132.4764395
2;80;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;3;1;5;4;1;1;5;1;3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;200;2; ;1;1;1;1;2; ;2; ;2; ;1;1;2; ;1;1;1;1;1;1;2;132.4764395
2;119;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;4;1;5;4;1;1;3;4;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;2;20;1;1;1;1;1;1;2; ;2; ;2; ;1;2;2; ;1;2;2; ;1;1;2;132.4764395
2;146;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;5;1;5;4;1;1;5;4;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4;1;1;2;1;2;1;5;1;2;1;3;1;2;2; ;2;8;1;1;1;1;1;2;2; ;2; ;2; ;1;1;2; ;1;1;2; ;1;1;2;132.4764395
2;203;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;6;1;5;4;1;1;5;4;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;2; ;1;1;2; ;2; ;2; ;2; ;1;2;2; ;2;2;2; ;1;1;2;132.4764395
2;222;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;7;1;5;4;1;5;5;4;4;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;35;2; ;1;2;2; ;2; ;2; ;2; ;1;1;2; ;2;2;2; ;1;1;2;132.4764395
2;252;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;12;1;5;4;1;5;5;4;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;2;2; ;2; ;1;2;1;1;1;2;2; ;1;10;1;1;1;1;2; ;2; ;2; ;1;1;2; ;2; ;1;2;2; ;1;1;2;132.4764395
2;277;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;8;1;5;4;1;1;3;5;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;2;1;2;1;2;1;2;1;1;1;2;1;3;5;16;2; ;1;1;2; ;2; ;2; ;1;1;1;1;2; ;1;2;2; ;1;1;2;132.4764395
10;3;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;1;1;5;12;1;1;5;4;3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;2;1;3;1;3;2; ;2; ;1;2;1;2;2; ;2;20;1;1;1;1;2; ;1;1;2; ;2; ;1;2;2; ;1;2;2; ;1;1;4;105.9811516
10;30;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;9;1;5;12;1;5;5;4;4;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;1;1;2; ;2; ;2; ;1;2;2; ;2; ;1;2;2; ;1;1;4;105.9811516
10;50;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;2;1;5;12;1;9;5;4;3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;1;1;1;2;1;5;1;2;1;2;2; ;2; ;2;20;1;1;1;1;2; ;1;1;2; ;1;2;2; ;2; ;2;2;2; ;1;1;4;105.9811516
10;63;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;3;1;5;12;1;1;3;1;3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;1;1;1;1;2; ;2; ;2; ;1;1;2; ;2; ;1;2;2; ;1;1;4;105.9811516
10;89;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;10;1;5;12;1;1;5;4;3;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;25;1;1;1;1;1;1;2; ;2; ;1;3;1;2;2; ;2;2;2; ;1;1;4;105.9811516
10;110;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;13;1;5;12;1;5;5;4;4;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;7;1;1;1;1;2; ;2; ;2; ;1;2;2; ;2; ;1;2;2; ;1;1;4;105.9811516
10;161;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;6;1;5;12;1;1;3;4;4;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;1;2;1;2;2; ;1;3;1;2;2; ;2; ;2;5;2; ;1;1;2; ;2; ;2; ;2; ;1;1;2; ;2;2;2; ;1;1;4;105.9811516
10;176;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;7;1;5;12;1;1;5;4;7;2;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;7;1;2;1;2;2; ;2; ;1;2;2; ;2; ;7;10;2; ;1;1;2; ;2; ;2; ;1;4;2; ;2; ;1;2;2; ;1;1;4;105.9811516
10;194;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;12;1;5;12;1;1;5;4;4;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;4;1;2;2; ;2; ;1;5;2; ;1;2;1;3;2; ;2;4;2; ;1;1;1;1;2; ;2; ;2; ;1;2;2; ;2;2;2; ;1;1;4;105.9811516
10;211;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;8;1;5;12;1;5;5;4;4;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;1;2;1;3;2; ;1;3;1;1;1;3;2; ;1;20;2; ;1;1;1;2;2; ;2; ;2; ;1;4;2; ;1;1;2; ;1;1;4;105.9811516
1401;5;1;1;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;240201;1;1;5;8;1;1;3;1;4;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4;1;1;2;1;3;1;2;1;2;1;3;1;3;2; ;1;4;2; ;2; ;2; ;2; ;2; ;1;1;2; ;2; ;2;2;2; ;1;1;3;132.4764395
